date,base,symbol,rate
2025-09-12,USD,EUR,0.85339
2025-09-12,USD,BRL,5.3985
2025-09-15,USD,BRL,5.3348
2025-09-15,USD,EUR,0.84991
2025-09-15,USD,GBP,0.7344
2025-09-15,USD,JPY,147.36
2025-09-15,USD,MXN,18.4158
2025-09-16,USD,MXN,18.3493
2025-09-16,USD,JPY,146.99
2025-09-16,USD,GBP,0.73312
2025-09-16,USD,EUR,0.84696
2025-09-16,USD,BRL,5.3095
2025-09-17,USD,BRL,5.2981
2025-09-17,USD,EUR,0.84481
2025-09-17,USD,GBP,0.73287
2025-09-17,USD,JPY,146.39
2025-09-17,USD,MXN,18.2926
2025-09-18,USD,MXN,18.2307
2025-09-18,USD,JPY,147.44
2025-09-18,USD,GBP,0.73447
2025-09-18,USD,EUR,0.84617
2025-09-18,USD,BRL,5.273
2025-09-19,USD,BRL,5.3312
2025-09-19,USD,EUR,0.85208
2025-09-19,USD,GBP,0.74199
2025-09-19,USD,JPY,148.08
2025-09-19,USD,MXN,18.4288
2025-09-22,USD,MXN,18.3932
2025-09-22,USD,JPY,147.84
2025-09-22,USD,GBP,0.74094
2025-09-22,USD,EUR,0.84882
2025-09-22,USD,BRL,5.3428
2025-09-23,USD,BRL,5.3394
2025-09-23,USD,EUR,0.84796
2025-09-23,USD,GBP,0.74018
2025-09-23,USD,JPY,147.8
2025-09-23,USD,MXN,18.338
2025-09-24,USD,MXN,18.4025
2025-09-24,USD,GBP,0.74268
2025-09-24,USD,JPY,148.44
2025-09-24,USD,EUR,0.85063
2025-09-24,USD,BRL,5.2943
2025-09-25,USD,BRL,5.3188
2025-09-25,USD,EUR,0.85186
2025-09-25,USD,GBP,0.74521
2025-09-25,USD,JPY,148.82
2025-09-25,USD,MXN,18.4436
2025-09-26,USD,MXN,18.4844
2025-09-26,USD,JPY,149.75
2025-09-26,USD,GBP,0.7488
2025-09-26,USD,EUR,0.85675
2025-09-26,USD,BRL,5.3592
2025-09-29,USD,BRL,5.3327
2025-09-29,USD,EUR,0.85302
2025-09-29,USD,GBP,0.74409
2025-09-29,USD,JPY,148.75
